,Method,Metric,Variable,Run,Type,Value
0,IM,kl_divergence,age,1,Multiple,0.002472385276946611
1,IM,kl_divergence,breast,1,Multiple,0.0006796476460177154
2,IM,kl_divergence,breast-quad,1,Multiple,0.004222678004158216
3,IM,kl_divergence,class,1,Multiple,0.00031084181728668615
4,IM,kl_divergence,deg-malig,1,Multiple,0.0039540492484954545
5,IM,kl_divergence,inv-nodes,1,Multiple,0.04518987697652537
6,IM,kl_divergence,irradiat,1,Multiple,0.0001292454354428927
7,IM,kl_divergence,menopause,1,Multiple,0.00039601644532596074
8,IM,kl_divergence,node-caps,1,Multiple,0.0026291029960594
9,IM,kl_divergence,tumor-size,1,Multiple,0.007502903814898337
10,IM,kl_divergence,age,2,Multiple,0.0016423458491128372
11,IM,kl_divergence,breast,2,Multiple,0.0021121701163007113
12,IM,kl_divergence,breast-quad,2,Multiple,0.0025759333131272167
13,IM,kl_divergence,class,2,Multiple,0.0016221834173769274
14,IM,kl_divergence,deg-malig,2,Multiple,0.00010422559088832823
15,IM,kl_divergence,inv-nodes,2,Multiple,0.0029259483534877537
16,IM,kl_divergence,irradiat,2,Multiple,0.0
17,IM,kl_divergence,menopause,2,Multiple,0.0004413971435772257
18,IM,kl_divergence,node-caps,2,Multiple,0.0006680549341393192
19,IM,kl_divergence,tumor-size,2,Multiple,0.005483665094892459
20,IM,cross_classification,Avg-CrCl,1,Single,0.8169415137291564
21,IM,cross_classification,Avg-CrCl,2,Single,0.8070415022725517
22,IM,membership_disclosure,-,1,Single,0.3986013986013986
23,IM,membership_disclosure,-,2,Single,0.47202797202797203
24,IM,attribute_disclosure,-,1,Single,0.022058823529411766
25,IM,attribute_disclosure,-,2,Single,0.007352941176470588
26,CLGP,kl_divergence,age,1,Multiple,0.051157278475929796
27,CLGP,kl_divergence,breast,1,Multiple,0.001073777503070322
28,CLGP,kl_divergence,breast-quad,1,Multiple,0.05376029291770971
29,CLGP,kl_divergence,class,1,Multiple,0.0045128039143756534
30,CLGP,kl_divergence,deg-malig,1,Multiple,0.04357731642608357
31,CLGP,kl_divergence,inv-nodes,1,Multiple,0.21988917340776928
32,CLGP,kl_divergence,irradiat,1,Multiple,0.010450079244558801
33,CLGP,kl_divergence,menopause,1,Multiple,0.11835319627630887
34,CLGP,kl_divergence,node-caps,1,Multiple,0.06486120151605458
35,CLGP,kl_divergence,tumor-size,1,Multiple,0.03602419873827761
36,CLGP,kl_divergence,age,2,Multiple,0.09693389967252156
37,CLGP,kl_divergence,breast,2,Multiple,0.019749771238782143
38,CLGP,kl_divergence,breast-quad,2,Multiple,0.07345505691287195
39,CLGP,kl_divergence,class,2,Multiple,0.010855683693884687
40,CLGP,kl_divergence,deg-malig,2,Multiple,0.008491235122121387
41,CLGP,kl_divergence,inv-nodes,2,Multiple,0.21512066113110195
42,CLGP,kl_divergence,irradiat,2,Multiple,0.020680330963639096
43,CLGP,kl_divergence,menopause,2,Multiple,0.029069847713414896
44,CLGP,kl_divergence,node-caps,2,Multiple,0.08416305674792605
45,CLGP,kl_divergence,tumor-size,2,Multiple,0.047915128620090106
46,CLGP,cross_classification,Avg-CrCl,1,Single,0.6623629002238886
47,CLGP,cross_classification,Avg-CrCl,2,Single,0.6377420137053431
48,CLGP,membership_disclosure,-,1,Single,0.10139860139860139
49,CLGP,membership_disclosure,-,2,Single,0.13636363636363635
50,CLGP,attribute_disclosure,-,1,Single,0.003676470588235294
51,CLGP,attribute_disclosure,-,2,Single,0.003676470588235294
52,MICE-DT,kl_divergence,age,1,Multiple,0.0046844298701411114
53,MICE-DT,kl_divergence,breast,1,Multiple,0.0018195021170130162
54,MICE-DT,kl_divergence,breast-quad,1,Multiple,0.047786099571389726
55,MICE-DT,kl_divergence,class,1,Multiple,0.002669840128348683
